id	sentiment_score	upvotes
jsid-post-aPAYX5Q	0.5994	55
jsid-post-aO8Y1LN	0.9856	67
jsid-post-an79D65	0.0	25
jsid-post-a5QMj3q	0.9666	122
jsid-post-aE02XOG	0.0	421
jsid-post-ae9r2Rp	0.9413	59
jsid-post-apRmA75	0.9702	33
jsid-post-a873wwQ	0.9694	305
jsid-post-a9yKXGW	0.8957	49
jsid-post-aryGBd0	0.9753	76
jsid-post-abAY2Rv	0.9897	62
jsid-post-a34QW8v	0.9819	209
jsid-post-ayNBQ6V	0.9657	440
jsid-post-a873wQ3	0.0	20
jsid-post-aGyZ2O7	0.836	32
jsid-post-aoye8Ym	0.6249	43
jsid-post-aGyZ28w	-0.8442	219
jsid-post-a2vZbLD	0.4019	32
jsid-post-a0eQEnL	0.2732	153
jsid-post-ae9r2Z5	-0.6369	128
jsid-post-aGyZ2Mw	-0.9382	65
jsid-post-aVvY2v2	0.7269	258
jsid-post-aO8Y19y	0.9719	61
jsid-post-a9yKXyZ	0.9325	152
jsid-post-amoBVgy	0.91	153
jsid-post-aO8Y1eD	0.6486	60
jsid-post-a1mQLmD	-0.8629	201
jsid-post-aZZL2D6	-0.6808	177
jsid-post-aPAYXmG	0.9274	119
jsid-post-aGyZ2dK	-0.9468	976
jsid-post-aBy0X6D	-0.34	27
jsid-post-azx9ZxB	0.6369	15
jsid-post-aAy3XG0	0.296	29
jsid-post-ajP8K5x	0.8779	209
jsid-post-aqyKzgQ	0.9842	336
jsid-post-axyzPyM	0.0	42
jsid-post-aYQY14O	0.743	563
jsid-post-aRB12XQ	0.872	86
jsid-post-a6ZOpoq	0.872	198
jsid-post-ajP8K8x	0.9509	105
jsid-post-an79Dyn	0.0	172
jsid-post-aZZL2gW	0.8204	274
jsid-post-a6ZOpVq	0.1027	93
jsid-post-apRmApE	0.0	139
jsid-post-a2vZbd1	0.802	160
jsid-post-a7o3NZx	0.1531	80
jsid-post-aXPY296	0.891	431
jsid-post-aoye8jx	-0.5994	863
jsid-post-a0eQEdd	0.5574	46
jsid-post-adBL2YD	0.128	490
jsid-post-a0eQEYB	0.836	110
jsid-post-a0eQE8Z	0.9325	432
jsid-post-aW4Y2W4	0.9524	148
jsid-post-aVvY2jd	0.7096	585
jsid-post-adBL2yV	-0.9601	622
jsid-post-axyzPdW	0.9584	207
jsid-post-aD21X0B	0.9628	44
jsid-post-a6ZO2Pe	0.1027	1800
jsid-post-aBy0GDP	0.34	163
jsid-post-aQzRZwr	0.9819	218
jsid-post-aBy0G7x	0.8442	426
jsid-post-aLngmyA	0.946	162
jsid-post-aryGBv5	0.9718	10
jsid-post-axyzRqY	0.9201	194
jsid-post-a8732xZ	0.6369	552
jsid-post-a2vZ269	0.8591	180
jsid-post-azx9R3N	0.5859	195
jsid-post-a8732gZ	0.0	402
jsid-post-aRB1op7	0.9878	285
jsid-post-aPAYQEG	0.9875	58
jsid-post-ajP8Z3w	-0.7717	341
jsid-post-aE02DbN	0.3818	69
jsid-post-a9yK2NW	-0.765	387
jsid-post-aZZLj56	0.1531	41
jsid-post-aAy329o	0.8271	63
jsid-post-aAy32m9	0.9913	161
jsid-post-ae9rmVp	0.8519	2400
jsid-post-aBy0GE2	0.9169	2800
jsid-post-apRmbjb	0.836	39
jsid-post-ae9rmPb	-0.0772	15
jsid-post-axyzRnK	0.9882	55
jsid-post-aO8YPZR	-0.1027	499
jsid-post-an79EEb	0.3612	212
jsid-post-amoBMoV	0.4215	3500
jsid-post-an79EG0	0.9735	19
jsid-post-apRmbbn	0.9501	146
jsid-post-a8732Ep	0.0	1700
jsid-post-ayNBR1r	0.9698	83
jsid-post-aBy0GZP	-0.5267	203
jsid-post-aLngmn5	0.9661	265
jsid-post-a5QM2EL	0.9565	469
jsid-post-avy8RWM	0.9042	135
jsid-post-a87326Q	-0.9805	49
